ID,DryMatter,SumLength,SumDiam,MaxLength,LengthTop5
1,1.22,1947,78,137,115.8
2,3.99,2728,169,241,213.4
3,5.37,3527,126,295,271.6
4,5.67,1609,59,283,203.8
5,6.13,2502,129,280,231.8
6,6.76,2877,123,327,299
7,6.84,4058,191,449,406.4
8,6.91,2415,93,363,306.6
9,7.49,3459,140,368,347
10,8.29,151,4,151,151
11,8.5,2979,111,383,361.8
12,9.1,4421,176,376,351.6
13,9.29,4808,173,357,328.6
14,9.62,2110,93,378,343.4
15,9.81,7605,300,363,332.8
16,9.9,7029,289,391,351.4
17,10.43,6353,234,364,333
18,10.74,8948,360,296,289.2
19,10.8,8097,278,361,338
20,11.05,2718,106,526,393.8
21,11.21,5462,261,309,299
22,11.45,7697,250,416,383.4
23,11.51,4572,173,449,399.2
24,12.16,6332,257,341,313.2
25,12.25,6546,235,366,354.8
26,12.34,12958,368,342,316.6
27,12.56,11477,293,340,327
28,12.67,8060,344,296,282
29,12.68,5589,205,366,352.2
30,12.78,10615,376,391,363.8
31,12.85,3966,170,510,473.6
32,12.89,6196,210,447,407.2
33,12.97,5581,225,395,360.8
34,13.01,7164,293,435,419.4
35,13.01,5947,217,447,396.6
36,13.13,7127,252,353,328.8
37,13.22,4622,191,472,412.8
38,13.24,6554,276,444,406.6
39,13.3,6491,259,453,436.6
40,13.33,5987,242,432,413.2
41,13.4,4384,194,409,358.6
42,13.54,6730,257,425,372.2
43,13.61,7153,263,388,368
44,13.73,6886,294,391,364.8
45,13.75,5809,214,402,384.4
46,13.76,5850,240,326,315.6
47,13.82,4941,228,450,429.6
48,13.82,7603,338,360,336.6
49,14,7552,352,384,346
50,14.28,7158,211,447,420.2
51,14.4,6439,252,423,387.8
52,14.41,6416,243,419,404.6
53,14.42,10721,329,400,380.2
54,14.69,6420,268,426,379
55,14.69,4923,209,381,354.4
56,14.72,6597,245,489,460
57,14.75,10886,350,413,395.6
58,15.04,6349,261,502,481
59,15.11,5751,207,553,498
60,15.2,5967,211,410,357.6
61,15.53,7241,286,423,412.4
62,15.56,6797,206,373,349.2
63,15.67,8532,349,462,439
64,15.91,5826,281,472,389.4
65,15.92,6631,261,544,509.4
66,15.93,9620,352,425,412.4
67,16.01,5958,214,448,396.4
68,16.05,3829,166,524,466.4
69,16.18,10966,372,405,396
70,16.28,9609,346,430,419.2
71,16.28,9181,344,520,471.4
72,16.65,7826,343,475,448.2
73,16.86,6475,255,540,517.8
74,16.96,5631,234,396,368
75,17.15,7506,283,471,453.2
76,17.15,8106,327,400,377.2
77,17.22,5554,216,471,456.2
78,17.27,9448,340,448,418
79,17.36,10067,332,378,371.4
80,17.49,6800,367,441,407.4
81,17.54,6742,281,526,482.2
82,17.65,7960,286,343,328.2
83,17.84,8853,369,393,353
84,17.96,10440,355,421,403
85,18.02,9223,331,464,408
86,18.28,7159,274,417,393.8
87,18.44,5855,231,519,462.4
88,18.52,5536,217,507,483.4
89,18.96,7768,275,472,433.2
90,19.02,5517,213,571,512
91,19.12,10513,333,466,429.6
92,19.16,6589,246,449,421.8
93,19.3,8844,328,383,371.6
94,19.5,7892,325,483,408.8
95,19.61,8502,430,425,415.2
96,19.7,5005,154,589,490
97,19.8,8300,310,388,374
98,19.99,8380,352,427,397
99,20.25,6638,251,410,396
100,20.46,6501,260,509,481.6
101,20.47,7118,280,562,539.2
102,20.52,5585,226,521,508.6
103,20.9,12664,416,356,347.4
104,20.94,6211,313,544,527.6
105,20.98,5840,231,511,468
106,21.28,7367,288,499,488.6
107,21.92,8976,435,420,409.6
108,22.02,5291,229,477,431.6
109,22.3,9357,373,457,443.4
110,23.68,7062,264,522,428.2
111,24.36,10831,400,472,446.8
112,27.39,11381,422,413,384.2
113,28.06,10253,425,413,385.8